"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"1",3,1,12,12,12,12,3,3,1,12,12,12,0.143576423884635,0.185610533898811,0.0919484913197327,0.0511401445196897,0.0368697918425963,0.0369121146529265,0.420292380460269,0.185610533898811,0.0230267273579351,0.00911684683850965,0.00568335245728404,0.00583311688490555,0.418205904812579,0.503053591834082,0.125011124423486,0.023240221348438,0.0117281571545427,0.0140421731622165
"2",1,1,12,12,12,12,1,1,12,12,12,12,0.118952311331069,0.17354642338603,0.0669904855071701,0.0590135692668066,0.0371866594517987,0.0279861957931464,0.118952311331069,0.17354642338603,0.020274020182086,0.0109642204610969,0.00730382777857856,0.00570741283827719,0.32542679806303,0.19209175857042,0.0287692606743436,0.0198897531057542,0.0100003584315058,0.0129805796784076
"3",1,1,12,12,12,12,1,1,12,12,12,12,0.20375584306318,0.167382792700259,0.0846889262398948,0.0493851400451282,0.0348576585677869,0.0315146015935412,0.20375584306318,0.167382792700259,0.019308972302981,0.00953447680811138,0.00756168603096491,0.00353066720176745,0.368235649380166,0.255155573718223,0.0303265916989091,0.0168568561992818,0.0134291598498364,0.00556426484852276
"4",3,3,12,12,12,12,3,3,12,12,12,12,0.217825495318362,0.204150396825813,0.0713682019038447,0.0590036284116257,0.0329914531609041,0.0262091507378543,0.325422844510456,0.705136963139026,0.0146125550604123,0.0154391502138052,0.00967209768982657,0.00653704591099244,0.321210344198995,0.697079429708432,0.0231998072065756,0.0339863236063544,0.0151442989999351,0.00911640315152223
"5",1,1,12,12,12,12,3,1,12,12,12,12,0.176106705938513,0.121202163309913,0.0788270568292958,0.0543425427184649,0.031842597304101,0.034741108889607,0.176106705938513,0.121202163309913,0.0207334603522354,0.00973223971354882,0.00516203234363145,0.005245888203742,0.462062694205562,0.188313877841272,0.0290086051094187,0.0230315762030279,0.0124977174665218,0.0120140530093114
"6",1,1,12,12,12,12,1,1,1,12,12,12,0.165291242711212,0.0929672950785543,0.120537796335136,0.0414591521680583,0.0382261729116726,0.0263563456802999,0.165291242711212,0.0929672950785543,0.0305949171726787,0.00821976357906989,0.00748014591217885,0.00517870792298389,0.276014139723982,0.252436558003885,0.176053116479004,0.021099294139673,0.0156274399436969,0.00960714775216808
"7",1,12,12,12,12,12,1,1,1,12,12,12,0.22923982750035,0.178185370527492,0.0838252786595536,0.0575209175589469,0.0472023349238236,0.0331584865703525,0.22923982750035,0.0309148313798885,0.0139534021616862,0.00977678406860719,0.0187019357909481,0.00389527913579433,0.471246297590804,0.224140398692261,0.153951219574749,0.0145689806307084,0.0313281709865716,0.00819799532414705
"8",1,1,12,12,12,12,1,1,1,12,12,12,0.319694305479836,0.165696998464929,0.0518934259844934,0.0627255003173826,0.0352504002144114,0.0398141331818313,0.319694305479836,0.165696998464929,0.0200015522193548,0.0131612337536215,0.00524284106480949,0.00905412118141216,0.30670905498496,0.295910616141858,0.104404999268418,0.0241739327472549,0.0112270421798955,0.0144109174671948
"9",1,1,12,12,12,12,1,3,12,12,12,12,0.294076939997354,0.144010196935563,0.0812458849889053,0.046587348628505,0.0430832616564822,0.0330219078582258,0.294076939997354,0.144010196935563,0.0187355599538405,0.0103043118392913,0.00650736393269012,0.00747684289108581,0.802024130594816,0.542819388655385,0.0453484077707065,0.0205141408273712,0.0200682589544707,0.0217533772251898
"10",3,1,12,12,12,12,3,1,1,12,12,12,0.215971423644555,0.0855277774158755,0.0798859298670572,0.0527017220053996,0.0320991884695634,0.0269809746919407,0.622496038083123,0.0855277774158755,0.0316410537506376,0.0147660217524434,0.00667378980310692,0.00351878366407915,0.639218424393074,0.160447691061324,0.111766517303811,0.0266785711186984,0.0101419149180094,0.00808104235897332
"11",1,1,12,12,12,12,3,1,12,12,12,12,0.137825199605215,0.128966196411398,0.0702522835892382,0.038180601753501,0.0327152052956462,0.0288236299103743,0.137825199605215,0.128966196411398,0.0158048487104605,0.00799578456701714,0.00653827800886479,0.00521605838253983,0.567803545705607,0.185145028917205,0.0259046876915451,0.0172615942453726,0.0150324295226936,0.00805974961842337
"12",1,1,12,12,12,12,1,1,12,12,12,12,0.355910983590016,0.208309331112244,0.0920107777240929,0.046256792755549,0.0386023333111837,0.0263511939938073,0.355910983590016,0.208309331112244,0.0420835328198217,0.00701079030181145,0.00962771796187253,0.0042145716680449,0.435449286687724,0.424707833655934,0.0884756197726562,0.0274462499966082,0.0154310449369644,0.00842333182792042
