"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45"
"1",16,16,16,13,13,13,13,13,0,16,13,16,13,13,13,13,0,0,0.827305042647175,0.450759106510141,0.290813825133401,0.180967495439572,0.156091333571843,0.268615171874747,0.109632928015459,0.213630075855579,0.134664621111497,0.295456707070458,0.48876187985089,0.327224758199554,0.0474238172547018,0.0730610616318643,0.130315523220658,0.0448158602848504,0.0530726909855203,0.134664621111497,0.944340720964417,0.142896058349474,0.385150315989254,0.12475215704965,0.131002713989765,0.141431941121416,0.0757559619316176,0.275556972892386,0.21882765042157
"2",16,16,16,15,13,13,13,13,0,16,16,3,14,0,1,0,0,13,0.338565250050523,0.225360795605791,0.353563758485021,0.125628560611497,0.411469685560532,0.240178261021129,0.214687853377508,0.115440426658161,0.141018763829388,0.445924443030684,0.723197032133011,0.249589624886514,0.231481842176685,0.0905335939814997,0.103320142543285,0.047112053948864,0.0790828319197502,0.141018763829388,0.598886879217852,0.452081992197112,0.322431512164467,0.516766252516105,0.397197332306179,0.702708444761262,0.367731006904504,0.185068010205032,0.109476843027997
"3",16,16,16,13,13,13,13,0,0,16,16,16,13,13,13,13,0,0,0.490294663360758,0.423271740760617,0.392325496144406,0.233496642126167,0.412556905109549,0.241934622677382,0.199718810838779,0.126480398942895,0.141031431534314,0.515192297448159,0.367901077303315,0.538837456881638,0.0702905393246213,0.0327758548406812,0.0848933915386764,0.0463475666438502,0.126480398942895,0.141031431534314,0.392726573676375,0.44434953265891,0.581602489437911,0.121158130312122,0.0834951678561826,0.129284741351364,0.0801463979384843,0.195235430649337,0.230527865238851
"4",16,16,16,3,5,13,13,0,0,16,16,16,4,14,15,13,13,13,0.67546585995834,0.25715597413453,0.518551489052206,0.322554703920128,0.304305455790037,0.142951469497028,0.182060480034241,0.1338465752768,0.108090484313404,0.14421284878045,0.330017777143995,0.41781169630086,0.44586194417851,0.227503009287708,0.068445056495782,0.0565771873373626,0.1338465752768,0.108090484313404,0.416110678105282,0.522761468683564,0.399451231235719,0.559895046657996,0.305000921758039,0.530899336400399,0.098380565483764,0.0512711079260504,0.0766250482878697
"5",16,16,13,16,13,13,13,0,0,16,16,6,16,13,13,13,0,0,0.205902710545795,0.13465700993843,0.280248233930145,0.317676881273658,0.119174951875212,0.33641327039372,0.175468275791696,0.0639582077895615,0.0613558316534729,0.257615858783645,0.413596950882455,0.215055085773495,0.412048908801827,0.0662049409880453,0.057077121865028,0.0755453721783923,0.0639582077895615,0.0613558316534729,0.333582285690526,0.171433026657737,0.407419306898752,0.477401325414332,0.128622385382005,0.108602953677883,0.128256728876109,0.122476745633031,0.156970383096996
"6",16,16,16,6,2,13,13,13,0,16,16,15,0,6,13,13,13,13,0.723899923734784,0.188237838590017,0.369089197878481,0.255199930248647,0.18375564563318,0.210909577601891,0.24442778253027,0.109505011570738,0.108689891822578,0.502076968444848,0.364557482404441,0.514984745419746,0.259342262897765,0.322507650770127,0.0465787156532627,0.0703732337434457,0.0414829395360407,0.108689891822578,0.760690263998829,0.381318142510521,0.592244146602561,0.33432506432869,0.224263974220235,0.121270676206909,0.225008496831411,0.0633887479702147,0.0483069176837498
"7",16,16,16,2,13,13,13,13,13,16,4,6,16,4,13,13,0,0,0.157030432269504,0.853107232052625,0.377186914529596,0.286241452893773,0.226157227855926,0.149403376337542,0.186474071334791,0.124866508930035,0.071522501727637,0.185032018653429,0.899292237597557,0.369082986461899,0.357600677301839,0.0398045754125477,0.0637156233861743,0.0660311471684928,0.0476115964007562,0.0403602699056337,0.14952156921597,1.62319328885414,0.257761849976607,0.529256056689054,0.437789866781084,0.101980948086647,0.0877576873878846,0.20103360959986,0.177770369437297
"8",16,16,6,4,15,13,13,13,0,16,16,13,5,13,0,13,13,0,1.09190417325951,0.333326689502101,0.135044158034153,0.306164727333344,0.159464243803116,0.129559629270339,0.201255939972288,0.147969234379487,0.103070222287825,0.288176785068551,0.311669480669806,0.323426494147195,0.479320788862569,0.339975357490411,0.0785476509439242,0.0561248970321995,0.0652327503196188,0.103070222287825,0.98620157192221,0.353655338815399,0.174971916261151,0.305651961458855,0.114976399351414,0.274100392292656,0.0623728974774034,0.0724495152505997,0.169809305171995
"9",16,16,16,13,13,13,13,0,0,16,16,1,13,13,13,13,13,0,0.489553568165035,0.218924490376903,0.558678386514569,0.165415131441516,0.249376659985177,0.210554956358402,0.117649031323251,0.0991167333762454,0.0834752816916887,0.614765715773451,0.248699291882882,0.355990192455257,0.0487248364689605,0.0363260678074006,0.0726318935826414,0.0459128416348889,0.0991167333762454,0.0834752816916887,0.84320051865963,0.361844349291959,0.429084660814086,0.133434575649901,0.252962734712178,0.067632593229313,0.0884753901485683,0.0430565522056614,0.125208200686418
"10",16,16,13,6,13,13,13,0,0,16,13,6,5,6,13,13,13,0,0.217427072538999,0.302705218897016,0.247160141062757,0.203107628088522,0.219426163030371,0.205935898847296,0.118111829825554,0.120606243297516,0.0914771734358539,0.260918789836859,0.282571048633506,0.155489868859528,0.22738356434903,0.0632148276565812,0.0743963751917676,0.0379601067494352,0.120606243297516,0.0914771734358539,0.293253390049476,0.140225564788406,0.351005745159305,0.41332795453959,0.410634210810032,0.111952441847247,0.0528959429003472,0.176566701106263,0.0951140576947911
"11",16,16,16,13,13,13,13,0,0,16,16,16,0,13,13,0,0,0,0.564627427256099,0.795186054441743,0.305609659567385,0.19411447047144,0.187868347291978,0.117407869284098,0.0814912195476938,0.157418025984369,0.0864256273721101,0.388772553499482,0.405836748160341,0.408146538901875,0.139192221691031,0.0737053579488993,0.0661529786507795,0.0317318676612063,0.157418025984369,0.0864256273721101,0.613479752675809,0.487868696531958,0.440698007388253,0.34771858245168,0.094838606828734,0.179420013969288,0.158423874252108,0.304300042996835,0.160737078951763
"12",16,16,3,13,13,13,13,13,0,16,16,16,13,13,13,13,13,0,1.43400203210814,0.442834389313699,0.389679910122941,0.181056031739733,0.257599374547187,0.123420462941089,0.183471404474353,0.0849567998278124,0.0825981307866261,0.638972564107846,0.364068950501481,0.515897354350334,0.10522369523115,0.0447278373511427,0.0454623930153217,0.109653215476382,0.0293448513375949,0.0825981307866261,0.650543220575286,0.445400495062994,0.468139518252365,0.201997713906773,0.109956113391702,0.0626708030502813,0.127675865388775,0.0523904481068741,0.149255247367364
"13",16,16,16,1,13,13,13,0,0,16,16,16,14,14,13,13,0,13,0.619843010313049,0.677563608572054,0.16270751578407,0.335690244233226,0.247127258948429,0.299084320371244,0.124417993087784,0.0860099995699703,0.164648458375457,0.465399788704361,0.465362900888985,0.700975491809614,0.488487674707345,0.0681473000133134,0.087556487631631,0.0369575739101636,0.0860099995699703,0.164648458375457,0.3677376854577,0.475207796502975,0.448658634206526,0.50241964044649,0.296073973276858,0.0990670210961087,0.090533615604404,0.149999265699626,0.114786306770578
"14",16,16,16,16,13,13,13,0,13,16,15,5,16,13,13,13,0,0,0.86512316879954,0.221325397102182,0.224708112005157,0.271392092221067,0.25511653564541,0.161794771319427,0.218806897481273,0.141645859230328,0.109232126309714,0.523892399745841,0.413828014703082,0.614014263231373,0.282289227902789,0.0577976665990892,0.064228856770484,0.0634097421902531,0.141645859230328,0.0341585005419163,0.64755786330315,1.20201970372863,0.572214142317832,0.272916373139965,0.0848796618674655,0.153547605298994,0.0617155778324239,0.193388071431628,0.128535159019799
